--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log

		 File is Created at  Fri Jun 20 17:27:33 2025
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'} 

{'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System'} 

{'pid': 172, 'username': None, 'name': ''} 

{'pid': 208, 'username': None, 'name': 'Registry'} 

{'pid': 712, 'username': None, 'name': 'fontdrvhost.exe'} 

{'pid': 880, 'username': None, 'name': 'smss.exe'} 

{'pid': 1084, 'username': None, 'name': 'svchost.exe'} 

{'pid': 1168, 'username': None, 'name': 'csrss.exe'} 

{'pid': 1204, 'username': None, 'name': 'svchost.exe'} 

{'pid': 1212, 'username': None, 'name': 'svchost.exe'} 

{'pid': 1272, 'username': None, 'name': 'wininit.exe'} 

{'pid': 1356, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'msedge.exe'} 

{'pid': 1380, 'username': None, 'name': 'services.exe'} 

{'pid': 1396, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'taskhostw.exe'} 

{'pid': 1424, 'username': None, 'name': 'LsaIso.exe'} 

{'pid': 1452, 'username': None, 'name': 'lsass.exe'} 

{'pid': 1572, 'username': None, 'name': 'svchost.exe'} 

{'pid': 1588, 'username': None, 'name': 'svchost.exe'} 

{'pid': 1600, 'username': None, 'name': 'fontdrvhost.exe'} 

{'pid': 1656, 'username': None, 'name': 'WUDFHost.exe'} 

{'pid': 1680, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'conhost.exe'} 

{'pid': 1740, 'username': None, 'name': 'svchost.exe'} 

{'pid': 1748, 'username': None, 'name': 'svchost.exe'} 

{'pid': 1792, 'username': None, 'name': 'svchost.exe'} 

{'pid': 1884, 'username': None, 'name': 'svchost.exe'} 

{'pid': 1900, 'username': None, 'name': 'svchost.exe'} 

{'pid': 1920, 'username': None, 'name': 'svchost.exe'} 

{'pid': 1932, 'username': None, 'name': 'svchost.exe'} 

{'pid': 1952, 'username': None, 'name': 'svchost.exe'} 

{'pid': 1968, 'username': None, 'name': 'svchost.exe'} 

{'pid': 2004, 'username': None, 'name': 'SecurityHealthService.exe'} 

{'pid': 2140, 'username': None, 'name': 'IntelCpHDCPSvc.exe'} 

{'pid': 2160, 'username': None, 'name': 'svchost.exe'} 

{'pid': 2220, 'username': None, 'name': 'svchost.exe'} 

{'pid': 2228, 'username': None, 'name': 'svchost.exe'} 

